Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2016-10-03;DeclarVins;Ticket #18041;0.5;TMA
2016-10-03;DeclarVins;Ticket #18044;0.5;TMA
2016-10-03;DeclarVins;Ticket #18051;0.5;TMA
2016-10-03;DeclarVins;Ticket #18042;1;TMA
2016-10-03;DeclarVins;Ticket #18047;1;TMA
2016-10-03;DeclarVins;demandes mails;3;TMA
2016-10-04;DeclarVins;Ticket #18055;0.5;TMA
2016-10-04;DeclarVins;Ticket #18056;0.5;TMA
2016-10-04;DeclarVins;Ticket #18061;0.5;TMA
2016-10-04;DeclarVins;Ticket #17908;4;TMA
2016-10-04;DeclarVins;Ticket #18063;0.5;TMA
2016-10-04;DeclarVins;Ticket #18068;1.5;TMA
2016-10-04;DeclarVins;Ticket #17989;0.5;TMA
2016-10-05;DeclarVins;Ticket #18072;1.5;TMA
2016-10-05;DeclarVins;Ticket #18065;2.5;TMA
2016-10-05;DeclarVins;EDI Partenaire;3;TMA
2016-10-06;DeclarVins;EDI Partenaire;5;TMA
2016-10-06;DeclarVins;assistance CIEL;0.5;TMA
2016-10-06;DeclarVins;Ticket #18098;0.5;TMA
2016-10-07;24eme;Facturation;2;
2016-10-07;DeclarVins;Ticket #18100;0.5;TMA
2016-10-07;DeclarVins;Ticket #18102;1;TMA
2016-10-07;DeclarVins;Ticket #18065;2;TMA
2016-10-07;DeclarVins;Ticket #18100;1;TMA
2016-10-10;DeclarVins;Ticket #18102;1;TMA
2016-10-10;DeclarVins;Ticket #17908;0.5;TMA
2016-10-10;DeclarVins;Ticket #18106;3;TMA
2016-10-10;DeclarVins;Ticket #18125;1;TMA
2016-10-11;DeclarVins;Ticket #18111;0.5;TMA
2016-10-11;DeclarVins;Ticket #18114;1;TMA
2016-10-11;DeclarVins;Ticket #18115;0.5;TMA
2016-10-11;DeclarVins;Ticket #17908;1;TMA
2016-10-11;DeclarVins;Ticket #18102;2.5;TMA
2016-10-11;24eme;NDF;1;
2016-10-12;DeclarVins;Ticket #18102;0.5;TMA
2016-10-12;DeclarVins;Ticket #18126;3;TMA
2016-10-12;DeclarVins;Ticket #18100;0.5;TMA
2016-10-12;DeclarVins;EDI Partenaire;1;TMA
2016-10-12;DeclarVins;Gestion projet;0.5;TMA
2016-10-12;BIVB;Demandes VPN;1.5;TMA
2016-10-13;DeclarVins;Log de saisies frequence paiement douane et produit sans ig autre cepage;2;TMA
2016-10-13;DeclarVins;EDI Partenaire;2.5;TMA
2016-10-14;VINSI;Point telephonique;1.5;TMA
2016-10-14;DeclarVins;Assistance IVSE certificat;0.5;TMA
2016-10-14;DeclarVins;Bug saisie stock debut de mois en admin;1;TMA
2016-10-14;EliteAuto;Etude demande devis;1;
2016-10-17;Aurouze;Point + correction bug;3;
2016-10-17;24eme;Tactical meeting;4;
2016-10-18;DeclarVins;Diff DRM CFT;0.5;TMA
2016-10-18;DeclarVins;#18158;1.5;TMA
2016-10-18;DeclarVins;#18102;0.5;TMA
2016-10-18;DeclarVins;#18157;2.5;TMA
2016-10-18;EliteAuto;Devis;2;
2016-10-19;DeclarVins;#17989;2.5;TMA
2016-10-19;DeclarVins;#18102;1;TMA
2016-10-19;DeclarVins;#18178;0.5;TMA
2016-10-19;24eme;Facturation Aurouze;1.5;
2016-10-20;IVBD;Recette VDI;5;TMA
2016-10-21;IVBD;Recette VDI / comparaison;1;TMA
2016-10-21;IVSO;Recette VDI / comparaison;1;TMA
2016-10-21;DeclarVins;EDI Partenaire;4;TMA
2016-10-24;DeclarVins;Ticket #18190;0.5;TMA
2016-10-24;DeclarVins;Assistance Contrat achat IVSE;1;TMA
2016-10-24;InterOc;Recette VDI / XML;0.5;TMA
2016-10-24;DeclarVins;EDI Partenaire;5;TMA
2016-10-25;CIVL;Recette VDI / XML;0.5;TMA
2016-10-25;DeclarVins;EDI Partenaire;6;TMA
2016-10-26;DeclarVins;Gestion certificat IVSE;4;TMA
2016-10-26;DeclarVins;EDI Partenaire;2;TMA
2016-10-27;CIVR;Recette VDI / XML;0.5;TMA
2016-10-27;DeclarVins;EDI Partenaire;2;TMA
2016-10-27;DeclarVins;Documentation EDI Partenaire;5;TMA
2016-10-28;DeclarVins;EDI Partenaire;2;TMA
2016-10-28;DeclarVins;Documentation EDI Partenaire;3;TMA
2016-10-28;AVA;Chiffrage budget 2017;1;TMA
2016-11-02;DeclarVins;Ticket #18224;3.5;TMA
2016-11-02;DeclarVins;Ticket #18222;0.5;TMA
2016-11-02;DeclarVins;Ticket #18221;0.5;TMA
2016-11-02;DeclarVins;Ticket #18219;0.5;TMA
2016-11-03;DeclarVins;Recette VDI IVSE;4;TMA
2016-11-03;DeclarVins;Moulinette CFT;3.5;TMA
2016-11-04;Aurouze;Tournee technicien;7;
