Projet;Tâche;Temps (en heure);Temps (en jours)
ADM Avant Vente;Avant-vente;3,5;0,5
ADM Avant Vente;TOTAL;3,5;0,5
AHJUCAF;TMA;28;4,0
AHJUCAF;TOTAL;28;4,0
Armagnac;Stats;3,5;0,5
Armagnac;TOTAL;3,5;0,5
Aurouze;TMA;38,5;5,5
Aurouze;TOTAL;38,5;5,5
AVA;TMA;1,5;0,2
AVA;TOTAL;1,5;0,2
BIVC;Autodiagnostic;52,5;7,5
BIVC;TMA;7;1,0
BIVC;TOTAL;59,5;8,5
CentreLoire;Forfait;113,5;16,2
CentreLoire;TOTAL;113,5;16,2
CIVA;Évolutions Tiers;14;2,0
CIVA;Réunion;7;1,0
CIVA;TMA;22;3,1
CIVA;TOTAL;43;6,1
CIVP;TMA;10,5;1,5
CIVP;TOTAL;10,5;1,5
ENVA;Forfait (déjà facturé);3,5;0,5
ENVA;TOTAL;3,5;0,5
IR;Deploiement;3,5;0,5
IR;Statistiques;1;0,1
IR;TMA;24,5;3,5
IR;TOTAL;29;4,1
IVBD;TMA;5;0,7
IVBD;TOTAL;5;0,7
IVSE;TMA;14;2,0
IVSE;TOTAL;14;2,0
IVSO;TMA;3,5;0,5
IVSO;TOTAL;3,5;0,5
ODGProvence;TMA;8;1,1
ODGProvence;TOTAL;8;1,1
ODGRhone;TMA;5,5;0,8
ODGRhone;TOTAL;5,5;0,8
PlateauUrbain;Plateforme;2;0,3
PlateauUrbain;TOTAL;2;0,3
VinsIGP;TMA;28;4,0
VinsIGP;TOTAL;28;4,0
TOTAL;TOTAL;57,1
